index_date;fertilizer_sales
2007-02-01;1961047.59395371
2007-03-01;2197514.67529265
2007-04-01;2099118.52017704
2007-05-01;2160054.86176289
2007-06-01;1987865.21777187
2007-07-01;2054171.06525979
2007-08-01;2191469.20203993
2007-09-01;1968635.59497011
2007-10-01;1963532.12418194
2007-11-01;1951168.61632663
2007-12-01;2101535.15970327
2008-01-01;2309429.92288974
2008-02-01;2345227.29738368
2008-03-01;2328715.81919425
2008-04-01;2466448.68850078
2008-05-01;2448023.68658634
2008-06-01;2535874.87580058
2008-07-01;2242382.55229822
2008-08-01;1356227.02072994
2008-09-01;1259125.20553361
2008-10-01;886905.54020209
2008-11-01;803408.976129041
2008-12-01;1511772.08830519
2009-01-01;1736791.40251167
2009-02-01;1844845.29789938
2009-03-01;1998136.79111653
2009-04-01;1852159.41167979
2009-05-01;1787461.66120423
2009-06-01;1881278.79620729
2009-07-01;2161741.37474844
2009-08-01;1837010.06369299
2009-09-01;1772864.66408607
2009-10-01;1758942.07996338
2009-11-01;1794672.59718228
2009-12-01;1979349.98989663
2010-01-01;2037014.70977104
2010-02-01;2046792.37044018
2010-03-01;1968567.52082415
2010-04-01;1948984.10260637
2010-05-01;1719146.10836488
2010-06-01;1747632.07484135
2010-07-01;1976237.12934714
2010-08-01;1921495.86962908
2010-09-01;2164773.52081599
2010-10-01;2298295.55766386
2010-11-01;2380450.20557091
2010-12-01;2271222.35633665
2011-01-01;2157709.3543403
2011-02-01;2285845.86738551
2011-03-01;2231028.62807465
2011-04-01;2248942.20728577
2011-05-01;2525421.35565607
2011-06-01;2588289.05997479
2011-07-01;2400026.71228134
2011-08-01;2322572.62215701
2011-09-01;2445883.81885414
2011-10-01;2269240.94286728
2011-11-01;2386822.40446251
2011-12-01;2393548.96428729
2012-01-01;2334439.40692895
2012-02-01;2331147.21845142
2012-03-01;2523296.47652764
2012-04-01;2482945.41135717
2012-05-01;2687435.89777516
2012-06-01;2438686.21405612
2012-07-01;2224595.37599246
2012-08-01;2612134.69978856
2012-09-01;2415455.30293222
2012-10-01;2516488.14091283
2012-11-01;2490487.57128092
2012-12-01;2425398.07281197
2013-01-01;2518031.07246906
2013-02-01;2388650.85967513
2013-03-01;2516430.048471
2013-04-01;2756443.07820487
2013-05-01;2622574.96491728
2013-06-01;2542391.64686429
2013-07-01;2540327.69228028
2013-08-01;2740101.1370836
2013-09-01;2520969.86814444
2013-10-01;2764373.13201158
2013-11-01;2584752.41627409
2013-12-01;2546410.75611209
2014-01-01;2695210.74926111
2014-02-01;2756051.90262373
2014-03-01;2622586.86419793
2014-04-01;2804959.64608881
2014-05-01;2925998.00686773
2014-06-01;1590462.65666417
2014-07-01;2757254.58337744
2014-08-01;2602773.67266148
2014-09-01;2779423.31513738
2014-10-01;2654507.05711803
2014-11-01;2533262.44899052
2014-12-01;2574421.8260056
2015-01-01;2464065.0766297
2015-02-01;2522137.80752903
2015-03-01;2736155.47070949
2015-04-01;2496415.2187842
2015-05-01;2395963.12048154
2015-06-01;2541608.86144922
2015-07-01;2691166.55391066
2015-08-01;2515730.57437625
2015-09-01;2576485.8232382
2015-10-01;2362273.62117808
2015-11-01;2261448.76728365
2015-12-01;2592236.33731631
