index_date,industrial_electricity_consumption_(gwh)_forecast
2021-11-01,15243.901736892283
2021-12-01,14843.783269168896
2022-01-01,14595.68799143009
2022-02-01,14520.37488324591
2022-03-01,15149.536321874826
2022-04-01,14674.779617656573
2022-05-01,14468.180090552107
2022-06-01,14356.192483936507
2022-07-01,14781.183891648052
2022-08-01,14968.7073384376
2022-09-01,14797.19395221223
2022-10-01,15028.028742895593
